process_b_domain,study,process_a,process_b,sex,$n$,tau_levels,ab_tau_00_est,ab_tau_00_se,ab_tau_00_pval,tau_slopes,ab_tau_11_est,ab_tau_11_se,ab_tau_11_pval,tau_resid,ab_sigma_00_est,ab_sigma_00_se,ab_sigma_00_pval
short-term memory,elsa,gait,word_im,Men,1947," .04( .01), $p$<.01 ***",0.045,0.009,0," .00( .00), $p$=.58  ",0,0,0.585,"-.00( .00), $p$=.49  ",-0.002,0.003,0.486
short-term memory,hrs,gait,word_im,Women,370," .04( .01), $p$=.01 *",0.036,0.015,0.014," .00( .00), $p$=.44  ",0,0.001,0.443," .00( .01), $p$=.60  ",0.004,0.008,0.596
short-term memory,hrs,gait,word_im,Men,318," .03( .02), $p$=.03 *",0.034,0.016,0.032," .00( .00), $p$=.74  ",0,0.001,0.745," .00( .01), $p$=.82  ",0.002,0.009,0.821
short-term memory,lasa,gait,word_im,Women,782,"-1.74( .67), $p$=.01 **",-1.735,0.672,0.01,"-.01( .01), $p$=.21  ",-0.015,0.012,0.209,"-.37( .28), $p$=.19  ",-0.366,0.28,0.191
short-term memory,lasa,gait,word_im,Men,800,"-1.12( .58), $p$=.05 .",-1.121,0.581,0.054," .00( .02), $p$=.85  ",0.004,0.019,0.854,"-.08( .29), $p$=.77  ",-0.085,0.295,0.773
short-term memory,map,gait,word_im,Women,935," .13( .02), $p$<.01 ***",0.128,0.025,0," .00( .00), $p$=.05 *",0.004,0.002,0.048,"-.00( .01), $p$=.80  ",-0.002,0.008,0.805
short-term memory,map,gait,word_im,Men,321," .07( .04), $p$=.04 *",0.075,0.036,0.039," .00( .00), $p$=.24  ",0.005,0.004,0.237," .01( .01), $p$=.69  ",0.006,0.015,0.686
verbal comprehension,map,gait,ideas,Women,935," .01( .00), $p$=.01 **",0.008,0.003,0.009," .00( .00), $p$=.27  ",0,0,0.271," .00( .00), $p$=.26  ",0.002,0.001,0.265
verbal comprehension,map,gait,ideas,Men,321," .01( .01), $p$=.15  ",0.011,0.007,0.148,"-.00( .00), $p$=.46  ",-0.001,0.001,0.461," .00( .00), $p$=.80  ",0.001,0.003,0.796
visual discrimination,map,gait,line,Women,935," .08( .02), $p$<.01 ***",0.078,0.018,0," .00( .00), $p$=.89  ",0,0.002,0.894," .00( .01), $p$=.54  ",0.004,0.006,0.544
visual discrimination,map,gait,line,Men,321," .04( .02), $p$=.10 .",0.042,0.025,0.095,"-.00( .00), $p$=.22  ",-0.003,0.003,0.218," .02( .01), $p$=.06 .",0.02,0.011,0.06
visual discrimination,ilse,tug,piccomp,Women,225," .27( .84), $p$=.75  ",0.27,0.845,0.75," .00( .01), $p$=.90  ",0.001,0.009,0.902,"-.10( .31), $p$=.74  ",-0.103,0.311,0.742
visual discrimination,ilse,tug,piccomp,Men,252,"-.32( .47), $p$=.50  ",-0.32,0.473,0.499," .00( .01), $p$=.98  ",0,0.008,0.976,"-.07( .28), $p$=.79  ",-0.074,0.28,0.791
working memory,map,gait,digit_b,Women,935," .06( .01), $p$<.01 ***",0.057,0.012,0," .00( .00), $p$=.08 .",0.002,0.001,0.077,"-.00( .00), $p$=.47  ",-0.003,0.004,0.47
working memory,map,gait,digit_b,Men,321," .06( .02), $p$=.01 **",0.057,0.021,0.007," .00( .00), $p$=.68  ",0.001,0.002,0.681," .00( .01), $p$=.96  ",0,0.008,0.959
working memory,octo,gait,digit_b,Women,276,"-.76( .31), $p$=.01 *",-0.762,0.313,0.015," .01( .04), $p$=.75  ",0.013,0.04,0.752," .11( .21), $p$=.60  ",0.111,0.209,0.596
working memory,octo,gait,digit_b,Men,139,"-.46( .47), $p$=.33  ",-0.456,0.472,0.334,"-.02( .03), $p$=.45  ",-0.021,0.028,0.45,"-.11( .27), $p$=.69  ",-0.109,0.27,0.688
working memory,map,gait,digit_o,Women,935," .02( .01), $p$<.01 **",0.025,0.009,0.004," .00( .00), $p$=.74  ",0,0.001,0.744," .00( .00), $p$=.92  ",0,0.004,0.925
working memory,map,gait,digit_o,Men,320," .02( .02), $p$=.21  ",0.02,0.016,0.209,"-.00( .00), $p$=.74  ",-0.001,0.002,0.739,"-.00( .01), $p$=.92  ",-0.001,0.006,0.925
